way_id,highway,name,oneway,maxspeed_raw,refs
22845738,residential,Dinshaw Mulla Road (Marine Lines),yes,,245654311|2242540296|2242540295|245654309
22845739,residential,Charanjit Rai Road,,,245654277|245654284|245654306|245654319
22845743,residential,Burjorji Bharucha Road,yes,,245653937|245653936|11357578700|245653930|245653926
22845744,residential,Abdul Razak Allana Marg,,,245653960|11357570954|245653959|528655931
22845750,residential,Cross Road No 2,yes,,245654274|2242540287|245654273
22845757,tertiary,G Road (MGCM Anuvrat Marg),yes,,1127774638|2244783378|11072526030|2244783375|2244783367|2244783364|2244783361|12506352387|12506352386
22845762,tertiary,P Mandal Marg,yes,,486390343|2244783314|2244783316|245654487|2244783317|2244783319|5005283081|245654492
22845779,residential,Nana Bhai Lane,,,245654104|245654105
22845780,tertiary,Homi Modi Street,yes,,245654041|683782448|245654042
22845788,residential,Rutherfield Street,yes,,245653930|245653902
22845795,service,Babubahi M. Chinai Road,yes,,11952282407|492487418|13703020330|13703020334|2241842939|13703031323|2241842949|486404303
22845799,residential,Pitha Street,,,245654139|2167547628|2167547640|245654181
22845803,residential,,yes,,245654423|245654426
22845809,residential,Nowroji Ferdonji Street,yes,,245653651|245653662|245653674
22845818,residential,G Talwarkar Marg,yes,,245654257|13700678966|245654214
22845820,residential,M P Shetty Marg,yes,,245654021|528703839|245654066
22845821,residential,JD Daruwala Marg,,,245653907|7346067779|7346067778|245653911|7349775238|245653940
22845827,residential,Rope Walk Street,yes,,245653906|245653936
22845830,residential,Purshottamdas Thakurdas Marg,yes,,245654290|245654270|245654257|245654250|245654247
22845840,secondary_link,,yes,,528743527|12587158365|7462923338
22845844,residential,Battery Street,yes,,245653702|245653735
22845846,residential,Nagindas Master Road,yes,,245653991|245653974|245653965|245653960|245653952|528653131|245653937|535190121|245653914|245653908
22845862,residential,Maharashtra Chamber of Commerce Lane,yes,,245653908|528686528|486040899|486040903|486040911|486040916|13698395292|13698395291|245653867
22845865,secondary,Maharshi Dadhichi Marg,yes,,245654186|245654191|528741073|245654214|528741076|245654226|1643134416|10281938570
22845870,residential,Convent Street,yes,,245653728|245653713|13602021551|2178056752
22845871,residential,Homi Modi Street 2nd Cross Lane,,,245653994|245654031
22845877,residential,U A H Khan Marg,yes,,245654405|245654400
22845883,residential,Mupanna P Shetty Marg,yes,,245653994|245653995|13698362447|245654021
22845885,service,Vidhan Bhavan Cross Road,,,245653790|245653850
22845888,unclassified,Freedom Fighter Ramnanth Goenka Marg,yes,,2176701305|13701099596|245653879
22845893,residential,N Thackersey Road (Carnegy Road),yes,,245654359|2242540303|245654364
22845894,service,,yes,,245653964|1437368069|245654040|7350602913|7350602912|628636242|2177429765|1643093946|7350602915
22845897,residential,Ash Lane,,,245653972|245653973|245653974
22845899,residential,University Road,yes,,528743515|245653964|1643144581|5997071711
22845905,residential,PM Shukla Marg,yes,,486400933|11069000996|11068991583|11068991578|14007986573|11069007547|2241843154|245654256
22845911,residential,Bombay Hospital Avenue,,,485959348|485958782|4364243555|1127749936|245654519|6547595032
22845925,residential,D Road,no,,245654298|486400907
22845929,tertiary,Jeevan Bima Road,yes,,473084113|245653929|10885994196|245653931|10885994197|245653932|317152100|11029952872|245653933|5907166289
22845940,tertiary,Cooperage Road,no,,485977586|485989997|13602021552|13602122583|2176742037|245653671
22845950,tertiary,Maharshi Karve Road,yes,,245653649|317146515|13333672653|2242540256|10886054706|13602136347|10886054722|245653820
22845951,service,Vidhan Bhavan Road,,,486004004|245653861|2241842854|9312645919|9312645920|9312645917|245653858|9312645918|245653850|1651447335|245653857|245653866
22845970,residential,Nanik Motawani Marg,yes,,245653952|11357571199|11357571200|245653946
22845977,secondary,Karmaveer Bhaurao Patil Road,yes,,4046420989|10595920218|1643105845|245654260|2168470110|2163559554|2168470133|2163559566|9911678739|2163559569
22845980,tertiary,Free Press Journal Road,yes,,2176684336|9819307340|9819307338|11047870935|11031501077|11047885005|11031501082|13997302398|2176684445
22846055,primary,Marine Drive,yes,65,245653928|2177429704|12948753737|13257254187
22846121,secondary,Jagannath Bhosle Road,yes,,11052629982|245653814|2242540265|12586989040|2242540258|2241842815|12586989044|12586989045|2241842757|12299724446|317145665|6618316498|245653613
22846142,tertiary,Nathalal M. Parikh Road,yes,,245653671|2176742048|245653728|245653745|13700547679
22846183,residential,Henry Road,yes,,245653567|245653518
22846187,residential,Fourth Pasta Lane,yes,,245653417|245653430|245653436
22846193,secondary,Rambhau Salgaonkar Road,yes,50,2176726928|11950780361|2241842548|4048579846
